Naziv,Cijena,Link,Izvor
Laptop HP 15-fd0094nm A73TMEA i3 N305/8/512/FHD,511.2,https://tehnoplus.me/artikli/laptop-hp-15-fd0094nm-a73tmea-i3-n305-8-512-fhd/,Tehnoplus
Laptop HP 15-fd0093nm A74SREA i3 N305/8/512/FHD,511.2,https://tehnoplus.me/artikli/laptop-hp-15-fd0093nm-a74srea-i3-n305-8-512-fhd/,Tehnoplus
Laptop HP 15-fc0037nm AMD Ryzen3 7320U 8/512GB SSD 8D6M9EA,511.2,https://tehnoplus.me/artikli/laptop-hp-15-fc0037nm-amd-ryzen3-7320u-8-512gb-ssd-8d6m9ea/,Tehnoplus
Laptop DELL Vostro 3530 15.6'' i5-1334U 8/512GB SSD Intel Iris Xe YU (NOT24666)/,515.2,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-15-6-i5-1334u-8-512gb-ssd-intel-iris-xe-yu-not24666/,Tehnoplus
Laptop DELL OEM Vostro 3530 15.6'' i5-1334U 8/512GB SSD Intel Iris Xe (NOT24195)/,515.2,https://tehnoplus.me/artikli/laptop-dell-oem-vostro-3530-15-6-i5-1334u-8-512gb-ssd-intel-iris-xe-not24195/,Tehnoplus
"Laptop Dell Vostro 3530 i5-1334U 15.6"" 8/512GB SSD (210-BGLW-006)",519.2,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-i5-1334u-15-6-8-512gb-ssd-210-bglw-006/,Tehnoplus
Laptop HP 15-fc0034nm AMD Rzyen 5 7520U/8/512 8C9E0EA,519.2,https://tehnoplus.me/artikli/laptop-hp-15-fc0034nm-amd-rzyen-5-7520u-8-512-8c9e0ea/,Tehnoplus
Laptop Dell Vostro 3530 15.6'' i5-1334U 8/512GB/Intel Iris Xe (NOT23547),527.2,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-15-6-i5-1334u-8-512gb-intel-iris-xe-not23547/,Tehnoplus
Laptop Asus X515EA-BQ322w i3-1115G4/8/512 90NB0TY2-M25060,527.2,https://tehnoplus.me/artikli/laptop-asus-x515ea-bq322w-i3-1115g4-8-512-90nb0ty2-m25060/,Tehnoplus
Laptop Asus 90NX0441 i3-1115G4 i3/8/256 90NX0441-M05290,527.2,https://tehnoplus.me/artikli/laptop-asus-90nx0441-i3-1115g4-i3-8-256-90nx0441-m05290/,Tehnoplus
Laptop HP 1255 G10 15.6'' AMD Ryzen5 7530U 16/512GB SSD AK9N8AT#BED,535.2,https://tehnoplus.me/artikli/laptop-hp-1255-g10-15-6-amd-ryzen5-7530u-16-512gb-ssd-ak9n8atbed/,Tehnoplus
"Laptop HP 250 G10 15.6"" i5-1334U 16/512GB SSD (AK9Q2AT)",535.2,https://tehnoplus.me/artikli/laptop-hp-250-g10-15-6-i5-1334u-16-512gb-ssd-ak9q2at/,Tehnoplus
Laptop Acer Aspire A315-57G-36HW i3-1005G1/8/512 NOT18234,535.2,https://tehnoplus.me/artikli/laptop-acer-aspire-a315-57g-36hw-i3-1005g1-8-512-not18234/,Tehnoplus
Laptop Asus E1504FA-NJ318 Ryzen 5 7520U/16/512GB,551.2,https://tehnoplus.me/artikli/laptop-asus-e1504fa-nj318-ryzen-5-7520u-16-512gb/,Tehnoplus
"Laptop HP 15-fd0062nm 15.6 "" i5-1334U 16/512GB SSD 9R7X4EA",575.2,https://tehnoplus.me/artikli/laptop-hp-15-fd0062nm-15-6-i5-1334u-16-512gb-ssd-9r7x4ea/,Tehnoplus
Laptop Asus Vivobook 15 X1504ZA-NJ887 15.6'' i5-1235U 16/512GB SSD,575.2,https://tehnoplus.me/artikli/laptop-asus-vivobook-15-x1504za-nj887-15-6-i5-1235u-16-512gb-ssd/,Tehnoplus
"Laptop Dell Vostro 3530 i5-1334U/16/512GB/Intel Iris Xe/15,6'' NOT23741",575.2,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-i5-1334u-16-512gb-intel-iris-xe-15-6-not23741/,Tehnoplus
Laptop Lenovo V15-IIL i3-1005G1/8/256 Win10 82C500GJYA,591.2,https://tehnoplus.me/artikli/laptop-lenovo-v15-iil-i3-1005g1-8-256-win10-82c500gjya/,Tehnoplus
Laptop HP 15-fc0076nm A74SJEA Ryzen 5 7520U/16/512GB,623.2,https://tehnoplus.me/artikli/laptop-hp-15-fc0076nm-a74sjea-ryzen-5-7520u-16-512gb/,Tehnoplus
Laptop HP 15s-fq5066nm FHD 15.6'' i5-1235U/8/512GB SSD 8D089EA,631.2,https://tehnoplus.me/artikli/laptop-hp-15s-fq5066nm-fhd-15-6-i5-1235u-8-512gb-ssd-8d089ea/,Tehnoplus
"Laptop Lenovo V15-ALC 15,6"" Ryzen3 5300U/12/256GB SSD Win10 82KD000QYA",639.2,https://tehnoplus.me/artikli/laptop-lenovo-v15-alc-15-6-ryzen3-5300u-12-256gb-ssd-win10-82kd000qya/,Tehnoplus
Laptop Lenovo V15-IIL i3-1005G1 8/512 82C500JWYA,639.2,https://tehnoplus.me/artikli/laptop-lenovo-v15-iil-i3-1005g1-8-512-82c500jwya/,Tehnoplus
Laptop Acer A315-59-50TG i5-1235U/16/512SSD NX.K6VEX.008,663.2,https://tehnoplus.me/artikli/laptop-acer-a315-59-50tg-i5-1235u-16-512ssd-nx-k6vex-008/,Tehnoplus
Laptop Lenovo V15 GEN2 ALC Ryzen 7 5700U/8/256GB Windows 10 Pro 10P 82KD000KYA,679.2,https://tehnoplus.me/artikli/laptop-lenovo-v15-gen2-alc-ryzen-7-5700u-8-256gb-windows-10-pro-10p-82kd000kya/,Tehnoplus
Laptop Asus X1504VA-BQ005 15.6'' i5-1335 16/512GB SSD,711.2,https://tehnoplus.me/artikli/laptop-asus-x1504va-bq005-15-6-i5-1335-16-512gb-ssd/,Tehnoplus
"Laptop DELL Inspiron 3535 15.6"" AMD Ryzen7 7730U 16GB/1TB SSD (NOT24243)",719.2,https://tehnoplus.me/artikli/laptop-dell-inspiron-3535-15-6-amd-ryzen7-7730u-16gb-1tb-ssd-not24243/,Tehnoplus
Laptop Lenovo LOQ 15IAX9I 15.6'' i5-12450HX 8/512GB SSD 83FQ003HYA 144Hz/Gaming,743.2,https://tehnoplus.me/artikli/laptop-lenovo-loq-15iax9i-15-6-i5-12450hx-8-512gb-ssd-83fq003hya-144hz-gaming/,Tehnoplus
Laptop DELL OEM Inspiron 3535 15.6'' AMD Ryzen7 7730U 32GB/1TB SSD (NOT24789)/,759.2,https://tehnoplus.me/artikli/laptop-dell-oem-inspiron-3535-15-6-amd-ryzen7-7730u-32gb-1tb-ssd-not24789/,Tehnoplus
Laptop Asus VivoBook Ryzen 7 7330U/16/1TB SSD M1502YA-BQ018 90NB0X21-M00DX0,759.2,https://tehnoplus.me/artikli/laptop-asus-vivobook-ryzen-7-7330u-16-1tb-ssd-m1502ya-bq018-90nb0x21-m00dx0/,Tehnoplus
Laptop DELL Vostro 3530 15.6'' i7-1355U 8/512GB SSD Intel Iris Xe (NOT24584)/,765.6,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-15-6-i7-1355u-8-512gb-ssd-intel-iris-xe-not24584/,Tehnoplus
Laptop Asus X1505ZA-OLED-L521 i5-1235U/16/512GB SSD/Indie Black 90NB0ZB1-M007B0,775.2,https://tehnoplus.me/artikli/laptop-asus-x1505za-oled-l521-i5-1235u-16-512gb-ssd-indie-black-90nb0zb1-m007b0/,Tehnoplus
Laptop DELL Vostro 3530 15.6'' i7-1355U 16/512GB SSD Intel Iris Xe (NOT24667)/,779.2,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-15-6-i7-1355u-16-512gb-ssd-intel-iris-xe-not24667/,Tehnoplus
Laptop Asus X1505ZA-OLED-L511 i5-1235U/8GB/512SSD 90NB0ZB1-M00760,790.4,https://tehnoplus.me/artikli/laptop-asus-x1505za-oled-l511-i5-1235u-8gb-512ssd-90nb0zb1-m00760/,Tehnoplus
"Laptop HP Pavilion 15-eh3025nm 15.6"" AMD Ryzen7 7730U 16/512GB SSD (9J528EA)",791.2,https://tehnoplus.me/artikli/laptop-hp-pavilion-15-eh3025nm-15-6-amd-ryzen7-7730u-16-512gb-ssd-9j528ea/,Tehnoplus
Laptop HP 17-cn3042nm 17.3'' i7-1355U 16/512GB SSD Intel Iris (B45DLEA),871.2,https://tehnoplus.me/artikli/laptop-hp-17-cn3042nm-17-3-i7-1355u-16-512gb-ssd-intel-iris-b45dlea/,Tehnoplus
Apple MacBook Air 13.6 M2 8/256GB (MLXW3ZP/A) Space Gray,952.0,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m2-8-256gb-mlxw3zp-a-space-gray/,Tehnoplus
"Apple Macbook Air 13.6"" M2 16/256GB (MC7W4LL/A) Starlight",980.0,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m2-16-256gb-mc7w4ll-a-starlight/,Tehnoplus
Laptop Dell G15 5511 15.6''/i5-11400H/8GB/512GB Backlit sivi 5Y5B,1055.2,https://tehnoplus.me/artikli/laptop-dell-g15-5511-15-6-i5-11400h-8gb-512gb-backlit-sivi-5y5b/,Tehnoplus
"Laptop Acer Nitro 5 AN515 15,6"" Ryzen5 7535HS/16/512/GeForce RTX 3050Ti FHD IPS 144Hz Gaming",1191.2,https://tehnoplus.me/artikli/laptop-acer-nitro-5-an515-15-6-ryzen5-7535hs-16-512-geforce-rtx-3050ti-fhd-ips-144hz-gaming/,Tehnoplus
"Apple Macbook Air 13.6"" M4 16/256GB (MW0Y3LL/A) Starlight",1224.0,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m4-16-256gb-mw0y3ll-a-starlight/,Tehnoplus
"Apple Macbook Air 13.6"" M4 16/256GB (MW123HN/A) Midnight",1224.0,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m4-16-256gb-mw123hn-a-midnight/,Tehnoplus
"Apple Macbook Air 13.6"" M4 16/256GB (MW0W3HN/A) Silver",1224.0,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m4-16-256gb-mw0w3hn-a-silver/,Tehnoplus
"Apple Macbook Air 13.6"" M4 16/256GB (MC6T4HN/A) Sky Blue",1224.0,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m4-16-256gb-mc6t4hn-a-sky-blue/,Tehnoplus
Laptop DELL Latitude 5450 14'' Intel Core Ultra5 125U 8/512GB SSD (NOT24336)/,1273.6,https://tehnoplus.me/artikli/laptop-dell-latitude-5450-14-intel-core-ultra5-125u-8-512gb-ssd-not24336/,Tehnoplus
"Laptop Lenovo Yoga Pro 7 14IMH9 Ultra5 125H/32GB/1TB 14.5"" 83E2004HYA",1295.2,https://tehnoplus.me/artikli/laptop-lenovo-yoga-pro-7-14imh9-ultra5-125h-32gb-1tb-14-5-83e2004hya/,Tehnoplus
Apple Macbook Air 13.6'' M3 8/512GB EU (MRXU3LL/A) Starlight,1368.0,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m3-8-512gb-eu-mrxu3ll-a-starlight/,Tehnoplus
Apple MacBook Air 15'' M2 8/256GB (MQKU3E/A) Starlight,1378.4,https://tehnoplus.me/artikli/apple-macbook-air-15-m2-8-256gb-mqku3e-a-starlight/,Tehnoplus
Laptop DELL Latitude 5450 14'' Intel Core Ultra5 125U 8/512GB SSD Win11Pro (NOT23717)/,1423.2,https://tehnoplus.me/artikli/laptop-dell-latitude-5450-14-intel-core-ultra5-125u-8-512gb-ssd-win11pro-not23717/,Tehnoplus
Apple Macbook Air 13.6'' M3 16/512GB MXCU3 Starlight,1440.0,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m3-16-512gb-mxcu3-starlight/,Tehnoplus
"Apple Macbook Air 15"" M4 16/256GB (MW1J3LL/A) Starlight",1480.0,https://tehnoplus.me/artikli/apple-macbook-air-15-m4-16-256gb-mw1j3ll-a-starlight/,Tehnoplus
"Apple Macbook Air 15"" M3 8/512GB EU (MRYV3B/A) Midnight",1680.0,https://tehnoplus.me/artikli/apple-macbook-air-15-m3-8-512gb-eu-mryv3b-a-midnight/,Tehnoplus
"Apple Macbook Air 15"" M3 16/512GB EU (MXD23LL/A) Silver",1720.0,https://tehnoplus.me/artikli/apple-macbook-air-15-m3-16-512gb-eu-mxd23ll-a-silver/,Tehnoplus
Laptop Asus K6502VU-OLED-MA531X i5-13500H/16GB/1TB SSD/Win11Pro 90NB1132-M003V0,1759.2,https://tehnoplus.me/artikli/laptop-asus-k6502vu-oled-ma531x-i5-13500h-16gb-1tb-ssd-win11pro-90nb1132-m003v0/,Tehnoplus
Laptop DELL G16 7630 16'' i9-13900HX 32GB/1TB SSD GeForce RTX 4070 8GB Gaming (NOT24049)/,2243.2,https://tehnoplus.me/artikli/laptop-dell-g16-7630-16-i9-13900hx-32gb-1tb-ssd-geforce-rtx-4070-8gb-gaming-not24049/,Tehnoplus
