Naziv,Cijena,Link,Izvor
Lenovo IdeaPad Slim 3 15ABR8 Ryzen7 5825U/512GB/8GB/RadeoGraphics/15.6 FHD/YU/Arctic Grey/NoOS,479.0,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15ABR8-Ryzen7-5825U-512GB-8GB-RadeoGraphics-15-6-FHD-YU-Arctic-Grey-NoOS--113347,PC-Gamer
DELL Inspiron 3535 15.6 inch FHD 120Hz AMD Ryzen 5 7520,479.0,https://pc-gamer.me/p/DELL-Inspiron-3535-15-6-inch-FHD-120Hz-AMD-Ryzen-5-7520--108745,PC-Gamer
"Lenovo IdeaPad Slim 3 15ABR8 Ryzen5 5625U/512GB/16GB/RadeonGraphics/15.6"" FHD/YU/Arctic Grey/NoOS",485.5,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15ABR8-Ryzen5-5625U-512GB-16GB-RadeonGraphics-15-6-FHD-YU-Arctic-Grey-NoOS--113345,PC-Gamer
Asus Vivobook 15 X1504ZA-NJ1080,485.6,https://pc-gamer.me/p/Asus-Vivobook-15-X1504ZA-NJ1080--107259,PC-Gamer
Lenovo 83ER00M0YA,488.1,https://pc-gamer.me/p/Lenovo-83ER00M0YA--113141,PC-Gamer
HP 255 G10 AK9N9AT,489.0,https://pc-gamer.me/p/HP-255-G10-AK9N9AT--113055,PC-Gamer
ACER Aspire A315 15.6 in,490.7,https://pc-gamer.me/p/ACER-Aspire-A315-15-6-in--93525,PC-Gamer
Dell Vostro 3530 i5-1334U/8GB/512GB SSD/15.6,497.2,https://pc-gamer.me/p/Dell-Vostro-3530-i5-1334U-8GB-512GB-SSD-15-6--110319,PC-Gamer
LENOVO V15-AMN G4,499.0,https://pc-gamer.me/p/LENOVO-V15-AMN-G4--92806,PC-Gamer
DELL Vostro 3530 15.6 FHD 120Hz i5-1334U,499.0,https://pc-gamer.me/p/DELL-Vostro-3530-15-6-FHD-120Hz-i5-1334U--104457,PC-Gamer
HP 250 G10 9B997EA,499.0,https://pc-gamer.me/p/HP-250-G10-9B997EA--113056,PC-Gamer
ACER Aspire A315 15.6 inča FHD Ryzen 7 5700U 16GB 512GB SSD sivi laptop,502.3,https://pc-gamer.me/p/ACER-Aspire-A315-15-6-in-a-FHD-Ryzen-7-5700U-16GB-512GB-SSD-sivi-laptop--100675,PC-Gamer
